nr,doel
BV3_04.01, De leerlingen gebruiken courante functionaliteiten van vergelijkbare toepassingen om digitale inhouden te creëren
BV3_05.01.01, De leerlingen dragen in groepsactiviteiten actief bij aan de uitwerking van een gezamenlijk resultaat.
