onderdeel,punt
Bronvermelding volgens de APA regels,3
Minstens 2 pagina’s die naar elkaar verwijzen,1
Afbeelding,1
Link naar een externe pagina,1
Link naar een header (#) op dezelfde pagina (bijvoorbeeld een inhoudstafel),1
Table,1
Je Markdown document is duidelijk en overzichtelijk,1
Export: .docs,1
Export: .html,1
