onderdeel,punt
Hoe duidelijk en uitgebreid is je presentatie,2
Je hebt een thema,2
Afbeelding waarvan je de grootte zelf bepaald,2
Header en/of footer,2
Header en/of footer met image,2
Slide met background image,2
Slide met background image op de helft van het scherm,2
Je publiceert je presentatie via GitHub pages en maakt een link vanuit index.md,2
