onderdeel,punt
<strong>Kwaliteit</strong> van je responsive design<br><i>Je website is mooi en duidelijke op mobile</i>, 5
<strong>Efficiëntie</strong> van je responsive design<br><i>Je gebruikt de geleerde technieken correct en efficiënt</i>, 5
