onderdeel,punt
Je voegt op de correcte manier een afbeeling toe, 2
Je voegt op de correcte manier een video toe, 2
Je voeg 2 nieuwe HTML-tags toe, 4
Je legt het verschil uit tussen de br en p tags, 2
Je maakt correct gebruik van de br en p tags, 2
