onderdeel,punt
Elke pagina heeft CSS-styling, 3
Je CSS-bestand heeft de correcte naam, 1
Je geeft minstens 1 pagina een ander design door gebruik te maken van een ander CSS-bestand, 2
Je CSS heeft een goede structuur, 3
Je hebt enkel CSS-code in het .CSS-bestand, 1
Hoe uitgebreid is je styling, 5
