onderdeel,punt
Headers 1 2 en 3, 1
De ‘(header)’ moet kleiner zijn dan de rest van de header tekst, 3
De ‘2’ van ‘E = MC2’ moet hoger staan, 1
De ‘2’ van ‘H2O’ moet lager staan, 1
Knop, 1
Twee horizontale lijnen, 1
Een unordered, 3
Een ordered list, 3
Een progress bar, 3
Een abbreviation, 3
Je maakt correct gebruik van de p en br tags, 4
