onderdeel,punt
Je website heeft de juiste structuur (html en body en ...), 1
Je website heeft een titel en favicon (in het juiste bestandstype), 1
Je 6 knoppen hebben elk een uniek mooi en uitgebreid design, 3
Je gebruikt minstens 3 verschillende webfonts, 3
Je 6 knoppen hebben elk een uniek mooi en uitgebreid hover en visited effect, 3
Je hover effects maken gebruik van animaties, 1
