onderdeel,punt
<strong>Kwaliteit</strong> van je responsive design<br><em>Je website is mooi en duidelijke op mobile</em>, 5
<strong>Efficiëntie</strong> van je responsive design<br><em>Je gebruikt de geleerde technieken correct en efficiënt</em>, 5
