onderdeel,punt
<strong>Uiterlijk</strong>: Kwaliteit van je responsive design<br><em>Je website is mooi en duidelijke op mobile</em>, 5
<strong>Code</strong>: Efficiëntie van je responsive design<br><em>Je gebruikt de geleerde technieken correct en efficiënt</em>, 5
Je publiceerde je website via <strong>FTP</strong> op de webserver van de school, 5
