onderdeel,punt
Correct gebruik van de p en br tags, 3
Unordered list, 1
Ordered list, 1
Afbeelding, 1
Gedownloade video, 1
Youtube video, 1
Comments en tabs om je code overzichtelijker te maken, 3
Correcte code, 3
Hoe uitgebreid is je website? Maak je gebruik van andere tags?, 6
