onderdeel,punt
Je gebruikt een design system, 3
Je legt uit wel design system je gebruikt hebt en waarom, 1
Je gebruikt een lightbox library, 3
Je hebt een pagina met een library uit de cursus, 3
Je legt uit hoe je deze library uit de cursus moet gebruiken, 1
Je hebt een pagina met een library die je zelf gevonden hebt, 3
Je legt uit hoe je deze zelf gevonden library moet gebruiken, 1
