onderdeel,punt
Je hebt minstens 3 extra pagina’s, 3
Je startpagina heeft de correcte naam, 2
Als je pagina’s hebben de juiste structuur, 3
Je hebt een link naar een andere website, 2
Op elke pagina heb je minstens 1 link naar een ander deel van je pagina, 2
Elke pagina heeft een title & favicon, 2
Je hebt minsten 1 pagina’s met een ander favicon, 2
Je maakt gebruik van comments en tabs om je code duidelijker te maken, 2
Hoe uitgebreid is je website? Maak je gebruik van andere tags?, 4
