nr,doel
BV3_04.01, De leerlingen gebruiken courante functionaliteiten van vergelijkbare toepassingen om digitale inhouden te creëren
BV3_13.04, De leerlingen zoeken doelgericht informatie in diverse bronnen en verwerken die op een kritische en systematische manier.
