onderdeel,punt
Hoe ziet dit component eruit? Laat zien aan de hand van foto’s., 1
Waar bevindt dit component zich in een computer? Laat zien aan de hand van foto’s., 1
Waar dient dit component voor?, 3
Bestaan er verschillende types van dit component? Zo ja welke?, 2
Tussen welke prijs kan je dit component vinden voor een computer? En wat zijn de verschillen tussen dure en goedkope versies van dit component?, 2
