nr,doel
BV3_13.03, De leerlingen gebruiken school- en vaktaal.
BV3_04.01, De leerlingen gebruiken courante functionaliteiten van vergelijkbare toepassingen om digitale inhouden te creëren.
BV3_04.02, De leerlingen respecteren ethische sociale en legale regels bij het gebruiken van digitale technologie.
