onderdeel,punt
Kwaliteit van het artikel (vergeet de bronvermelding niet), 2
Je legt de inhoud van het artikel duidelijk uit, 2
Je gebruikt duidelijk beeldmateriaal bij het uitleggen van het artikel, 2
Je legt een link met minstens één van de andere technologieën, 2
Je neemt een standpunt in en hebt sterke argumenten, 2
