nr,doel
04.01, De leerlingen gebruiken doelgericht basisfunctionaliteiten van toepassingen om digitaal te communiceren.
BV1_04.02, De leerlingen gebruiken doelgericht basisfunctionaliteiten van toepassingen om digitale inhouden te creëren.
