onderdeel,punt
Grondig en overzichtelijk onderzoek naar 2 Linux-distributies, 4
Je kan zelfstandig een Linux-distributies installeren in een VM, 2
Je kan je 2 vooropgestelde taken uitvoeren, 2
Reflectie, 4
