onderdeel,punt
Analyse van de noden, 3
Bespreking besturingssysteem, 1
Geschikte onderdelen binnen het lage budget, 2
Geschikte onderdelen binnen het hoge budget, 2
Duidelijke en verzorgde uitwerking van het projectverslag, 2
