nr,doel
BV3_05.01.01, De leerlingen dragen in groepsactiviteiten actief bij aan de uitwerking van een gezamenlijk resultaat.
BV3_13.03, De leerlingen gebruiken school- en vaktaal.
BV3_13.04.03, De leerlingen verwerken zelfstandig de informatie uit de bronnen i.f.v. een vooropgesteld doel.
