onderdeel,punt
De tekst is volledig en makkelijk te begrijpen, 4
De tekst bevat geen spellings- en taalfouten, 3
Screenshots zijn relevant en goed weergegeven, 2
Screenshots bevatten markeringen, 2
Consistentie met de style guide, 3
