onderdeel,punt
Je ingesproken presentatie en duidelijk en leerrijk, 4
Technische kwaliteit van de opname (video & audio), 4
Correct en duidelijk taalgebruik, 2
Wat is het onderdeel en wat kan je er mee doen, 2
Samenvatting van de belangrijkste punten, 2
Tekst die duidelijker maakt, 2
Je houd je publiek betrokken, 2
