nr,doel
5.BV3_05.01, De leerlingen gaan respectvol en constructief met anderen in interactie rekening houdend met elkaars grenzen.
5.BV3_05.01.01, De leerlingen dragen in groepsactiviteiten actief bij aan de uitwerking van een gezamenlijk resultaat.
